feature_set_name,source_family,candidate_feature,set_description,feature_name,action,reason,reference_feature,target
metadata_only,temporal,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,ageing_days,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,campaign_id,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,cover_mm,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,n_steel_mesh,exclude,high absolute Spearman correlation >= 0.98,ageing_days,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,nacl_pct,exclude,high absolute Spearman correlation >= 0.98,ageing_days,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,series_id,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,split_group_treatment,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,treatment_coarse,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,treatment_label_coarse,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,tabular_metadata,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,treatment_protocol,keep,retained after QC and collinearity cleanup,,wire_area_loss_frac
metadata_only,temporal,True,Temporal and tabular metadata only; diagnostic ablation for campaign-confounding.,week,exclude,high absolute Spearman correlation >= 0.98,ageing_days,wire_area_loss_frac
