original_image_name,original_image_path,specimen_id,label,Sample Name,ID,Treatment,Label_Treatment,Ageing Days,A_Surface_Total_Rust_Percentage[%],A_Total_Rust_Category_(1–4),width_px,height_px,source_mode,file_size_bytes,mean_red_0_255,mean_green_0_255,mean_blue_0_255,std_red_0_255,std_green_0_255,std_blue_0_255,mean_rgb_intensity_0_255,mean_channel_std_0_255,mean_luminance_rec709_0_255,mean_luminance_rec709_0_1,luminance_rank_ascending,luminance_percentile_rank
D01-20240110-0W.png,Data/Images_dataset/D01-20240110-0W.png,D01,1,D01-20240110-0W,D01,NO,D,0,0.003,1,2835,650,RGBA,2134728,243.554211,233.609386,212.184138,11.111535,13.015855,14.369386,229.782578,12.832259,234.176753,0.918340,665,84.050633
D01-20240124-2W.png,Data/Images_dataset/D01-20240124-2W.png,D01,1,D01-20240124-2W,D01,NO,D,14,0,1,2835,650,RGBA,1891923,245.044116,239.575430,233.124241,15.996818,18.461179,19.994845,239.247929,18.150948,240.272297,0.942244,693,87.594937
D01-20240207-4W.png,Data/Images_dataset/D01-20240207-4W.png,D01,1,D01-20240207-4W,D01,NO,D,28,0.006,1,2835,650,RGBA,2517357,227.383938,217.505122,203.889264,20.199754,21.913132,23.724429,216.259441,21.945772,218.622293,0.857342,561,70.886076
D01-20240221-6W.png,Data/Images_dataset/D01-20240221-6W.png,D01,1,D01-20240221-6W,D01,NO,D,42,0,1,2835,650,RGBA,1615390,245.312905,242.079497,237.786204,16.215923,19.246761,22.305633,241.726202,19.256106,242.456944,0.950812,702,88.734177
D01-20240306-8W.png,Data/Images_dataset/D01-20240306-8W.png,D01,1,D01-20240306-8W,D01,NO,D,56,0.081,1,2835,650,RGBA,2304594,247.250580,243.062991,232.918377,13.723590,19.581329,26.120586,241.077316,19.808502,243.220832,0.953807,708,89.493671
D01-20240320-10W.png,Data/Images_dataset/D01-20240320-10W.png,D01,1,D01-20240320-10W,D01,NO,D,70,0.565,1,2835,650,RGBA,2436746,238.583708,231.688334,215.482421,20.364981,27.136389,34.848985,228.584821,27.450118,231.984224,0.909742,640,80.886076
D01-20240405-12W.png,Data/Images_dataset/D01-20240405-12W.png,D01,1,D01-20240405-12W,D01,NO,D,84,0.194,1,2835,650,RGBA,2006619,241.203498,240.427855,234.265999,19.492084,23.495406,29.896836,238.632451,24.294775,240.147871,0.941756,691,87.341772
D01-20240417-14W.png,Data/Images_dataset/D01-20240417-14W.png,D01,1,D01-20240417-14W,D01,NO,D,98,0.676,1,2835,650,RGBA,2218962,223.616073,212.733133,186.163253,23.938597,27.193272,29.113276,207.504153,26.748382,213.128500,0.835798,528,66.708861
D01-20240508-17W.png,Data/Images_dataset/D01-20240508-17W.png,D01,1,D01-20240508-17W,D01,NO,D,119,0.96,1,2835,650,RGBA,2705837,204.981497,198.441994,177.089303,38.230041,40.029549,41.707363,193.504265,39.988984,198.290628,0.777610,402,50.759494
D01-20240522-19W.png,Data/Images_dataset/D01-20240522-19W.png,D01,1,D01-20240522-19W,D01,NO,D,133,0.893,1,2835,650,RGBA,2146989,215.081750,209.612280,182.192655,22.867012,25.623485,28.441459,202.295562,25.643985,208.795392,0.818805,495,62.531646
D01-20240529-20W.png,Data/Images_dataset/D01-20240529-20W.png,D01,1,D01-20240529-20W,D01,NO,D,140,0.655,1,2835,650,RGBA,2453691,237.592802,231.011500,208.343957,22.205987,28.548938,35.008548,225.649420,28.587824,230.774088,0.904996,628,79.367089
D01-20240619-23W.png,Data/Images_dataset/D01-20240619-23W.png,D01,1,D01-20240619-23W,D01,NO,D,161,1.197,1,2835,650,RGBA,2674393,199.345202,193.153415,160.006097,27.758605,30.035136,30.711664,184.168238,29.501802,192.076552,0.753241,331,41.772152
D01-20240626-24W.png,Data/Images_dataset/D01-20240626-24W.png,D01,1,D01-20240626-24W,D01,NO,D,168,1.555,1,2835,650,RGBA,1917679,206.883190,200.195405,187.818852,19.800915,25.428674,28.601305,198.299149,24.610298,200.723641,0.787152,425,53.670886
