file_path,file_type,stage_of_pipeline,brief_description,status
outputs/audit/image_scan.csv,csv,audit,Image directory scan with readability metadata and error text.,useful
outputs/audit/issues_log.csv,csv,audit,Explicitly logged data issues found during validation.,useful
outputs/audit/metadata_loaded.csv,csv,audit,Normalized workbook rows before final validation merge.,useful
outputs/audit/specimen_mapping_validated.csv,csv,audit,Validated specimen-to-campaign/treatment mapping table.,useful
outputs/audit/verified_facts.json,json,audit,Canonical verified dataset counts and alignment facts.,useful
outputs/models/degradation/degradation_best_fits.csv,csv,degradation,Best selected degradation family per specimen.,review needed
outputs/models/degradation/degradation_fit_candidates.csv,csv,degradation,Candidate degradation fit metrics per specimen and family.,review needed
outputs/models/degradation/degradation_subset_trajectories.png,png,degradation,Subset of fitted degradation trajectories.,review needed
outputs/models/degradation/degradation_summary.json,json,degradation,JSON summary of degradation fitting outputs.,review needed
outputs/models/degradation/degradation_trajectory_grid.csv,csv,degradation,Dense day-level degradation trajectories by specimen.,review needed
outputs/models/degradation/full_feature_table_with_hidden_damage_proxy.csv,csv,degradation,Full feature table with model-based hidden damage proxy.,suspicious
outputs/eda/figures/campaign_counts.png,png,eda_figure,Bar chart of campaign counts.,redundant
outputs/eda/figures/cross_campaign_peak_rust.png,png,eda_figure,Cross-campaign comparison plot for peak rust.,useful
outputs/eda/figures/missingness.png,png,eda_figure,Figure summarizing missingness by column.,useful
outputs/eda/figures/row_counts.png,png,eda_figure,Bar chart of overall row/specimen/image counts.,redundant
outputs/eda/figures/structural_target_sparsity.png,png,eda_figure,Figure summarizing sparse structural targets.,useful
outputs/eda/figures/surface_rust_by_campaign.png,png,eda_figure,Surface rust distribution comparison by campaign.,useful
outputs/eda/figures/target_distributions.png,png,eda_figure,Distribution plots for major numeric targets.,useful
outputs/eda/figures/treatment_counts.png,png,eda_figure,Bar chart of treatment-group counts.,redundant
outputs/eda/figures/week_distribution.png,png,eda_figure,Histogram/bar chart of observed weeks.,redundant
outputs/eda/figures/within_specimen_surface_total_rust.png,png,eda_figure,Multi-specimen surface rust trajectory figure.,review needed
outputs/eda/tables/campaign_counts.csv,csv,eda_table,EDA table with campaign counts.,useful
outputs/eda/tables/missingness.csv,csv,eda_table,EDA table with per-column missing counts.,useful
outputs/eda/tables/row_counts.csv,csv,eda_table,EDA table with row/specimen/image counts.,useful
outputs/eda/tables/specimen_summary.csv,csv,eda_table,Specimen-level summary table with terminal surface values.,useful
outputs/eda/tables/structural_target_sparsity.csv,csv,eda_table,EDA table showing sparse structural targets.,useful
outputs/eda/tables/treatment_counts.csv,csv,eda_table,EDA table with treatment-group counts.,useful
outputs/eda/tables/week_counts.csv,csv,eda_table,EDA table with week distribution.,useful
outputs/features/feature_dictionary.csv,csv,feature_extraction,Dictionary describing engineered image features.,useful
outputs/features/image_feature_failures.csv,csv,feature_extraction,Logged image feature extraction failures.,useful
outputs/features/image_features.csv,csv,feature_extraction,Extracted interpretable image features with identifiers.,review needed
outputs/models/hidden_damage/best_models.csv,csv,hidden_damage_model,Selected best model names for the stage.,review needed
outputs/models/hidden_damage/hidden_damage_feature_table.csv,csv,hidden_damage_model,Structural-model input table saved before code-side feature selection.,review needed
outputs/models/hidden_damage/splits/group_shuffle.csv,csv,hidden_damage_model,Stage-specific grouped split membership manifest.,useful
outputs/models/hidden_damage/splits/group_shuffle_summary.csv,csv,hidden_damage_model,Stage-specific grouped split summary.,useful
outputs/models/hidden_damage/splits/leave_one_campaign_out.csv,csv,hidden_damage_model,Stage-specific leave-one-campaign-out split manifest.,useful
outputs/models/hidden_damage/splits/leave_one_campaign_out_summary.csv,csv,hidden_damage_model,Stage-specific leave-one-campaign-out split summary.,useful
outputs/models/hidden_damage/splits/leave_one_treatment_out.csv,csv,hidden_damage_model,Stage-specific leave-one-treatment-out split manifest.,useful
outputs/models/hidden_damage/splits/leave_one_treatment_out_summary.csv,csv,hidden_damage_model,Stage-specific leave-one-treatment-out split summary.,useful
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_feature_importance.png,png,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_predictions.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/group_shuffle/ultimate_load_kn_summary.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
outputs/models/hidden_damage/ultimate_load_kn/leave_one_campaign_out/ultimate_load_kn_best_model.json,json,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_campaign_out/ultimate_load_kn_feature_importance.csv,csv,hidden_damage_model,Generated pipeline artifact.,review needed
outputs/models/hidden_damage/ultimate_load_kn/leave_one_campaign_out/ultimate_load_kn_fold_metrics.csv,csv,hidden_damage_model,Generated pipeline artifact.,useful
