old_path,new_path_or_deleted,action,reason
report_v2/evidence/paired_diagnostics.json,archive/agent_working_notes/report_v2/evidence/paired_diagnostics.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/predecessor_title.txt,archive/agent_working_notes/report_v2/evidence/predecessor_title.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/frozen_report_hashes.json,archive/agent_working_notes/report_v2/evidence/frozen_report_hashes.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/predecessor_thesis.txt,archive/agent_working_notes/report_v2/evidence/predecessor_thesis.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/predecessor_article.txt,archive/agent_working_notes/report_v2/evidence/predecessor_article.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/report_environment.json,archive/agent_working_notes/report_v2/evidence/report_environment.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/claims.json,archive/agent_working_notes/report_v2/evidence/claims.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/v3/candidate_inventory.json,archive/agent_working_notes/report_v2/evidence/v3/candidate_inventory.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/v3/new_figure_checks.json,archive/agent_working_notes/report_v2/evidence/v3/new_figure_checks.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/v3/audit_decisions.json,archive/agent_working_notes/report_v2/evidence/v3/audit_decisions.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/v3/preserved_files.json,archive/agent_working_notes/report_v2/evidence/v3/preserved_files.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/evidence/v3/figure_checks.json,archive/agent_working_notes/report_v2/evidence/v3/figure_checks.json,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-31.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-31.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-25.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-25.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-19.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-19.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v1_contact_5.png,archive/agent_working_notes/report_v2/qa/review_thesis_v1_contact_5.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2_contact_1.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2_contact_1.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v1_contact_4.png,archive/agent_working_notes/report_v2/qa/review_thesis_v1_contact_4.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/article_v2_latex_log.txt,archive/agent_working_notes/report_v2/qa/article_v2_latex_log.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/report_v2_thesis_latex_log.txt,archive/agent_working_notes/report_v2/qa/report_v2_thesis_latex_log.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-18.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-18.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-24.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-24.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-30.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-30.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-26.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-26.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-32.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-32.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/thesis_v2_text.txt,archive/agent_working_notes/report_v2/qa/thesis_v2_text.txt,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v1_contact_6.png,archive/agent_working_notes/report_v2/qa/review_thesis_v1_contact_6.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2_contact_3.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2_contact_3.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2_contact_2.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2_contact_2.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-33.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-33.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-27.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-27.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-23.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-23.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-37.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-37.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v1_contact_3.png,archive/agent_working_notes/report_v2/qa/review_thesis_v1_contact_3.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v1_contact_2.png,archive/agent_working_notes/report_v2/qa/review_thesis_v1_contact_2.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-36.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-36.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
report_v2/qa/review_thesis_v2-22.png,archive/agent_working_notes/report_v2/qa/review_thesis_v2-22.png,ARCHIVE,Historical evidence/review records; preserve bytes and original script/report lookup paths.
