feature,importance_kind,importance,importance_abs
series_id,feature_importance,0.4395663478644565,0.4395663478644565
split_group_treatment,feature_importance,0.3423674616351491,0.3423674616351491
treatment_protocol,feature_importance,0.12836602750758175,0.12836602750758175
cover_mm,feature_importance,0.040446269325912,0.040446269325912
treatment_label_coarse,feature_importance,0.03195491179940291,0.03195491179940291
treatment_coarse,feature_importance,0.01678876299968124,0.01678876299968124
week,feature_importance,0.00048036404768936336,0.00048036404768936336
ageing_days,feature_importance,2.9911991077824496e-05,2.9911991077824496e-05
campaign_id,feature_importance,0.0,0.0
n_steel_mesh,feature_importance,0.0,0.0
nacl_pct,feature_importance,0.0,0.0
