target,n_selected_features,selection_candidate,feature_set_name,source_family,candidate_feature,set_description,feature_name,action,reason,reference_feature
wire_area_loss_frac,42,True,all_cleaned,temporal,True,All cleaned metadata and image features after QC and collinearity pruning.,ageing_days,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,tabular_metadata,True,All cleaned metadata and image features after QC and collinearity pruning.,campaign_id,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,tabular_metadata,True,All cleaned metadata and image features after QC and collinearity pruning.,cover_mm,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_b_mean,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_b_std,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_mask,True,All cleaned metadata and image features after QC and collinearity pruning.,img_black_mask_ratio_pct,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_brightness_mean,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_brightness_p10,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_brightness_p90,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_brightness_std,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_g_mean,exclude,high absolute Spearman correlation >= 0.98,img_brightness_mean
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_g_std,exclude,high absolute Spearman correlation >= 0.98,img_brightness_std
wire_area_loss_frac,42,True,all_cleaned,image_texture,True,All cleaned metadata and image features after QC and collinearity pruning.,img_glcm_contrast,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_texture,True,All cleaned metadata and image features after QC and collinearity pruning.,img_glcm_energy,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_texture,True,All cleaned metadata and image features after QC and collinearity pruning.,img_glcm_homogeneity,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_0,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_1,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_2,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_3,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_4,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_5,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_6,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_histogram,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_hist_bin_7,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_mask,True,All cleaned metadata and image features after QC and collinearity pruning.,img_gray_mask_ratio_pct,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_texture,True,All cleaned metadata and image features after QC and collinearity pruning.,img_lbp_mean,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_texture,True,All cleaned metadata and image features after QC and collinearity pruning.,img_lbp_std,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_r_mean,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_color,True,All cleaned metadata and image features after QC and collinearity pruning.,img_r_std,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_mask,True,All cleaned metadata and image features after QC and collinearity pruning.,img_rust_area_ratio_pct,keep,retained after QC and collinearity cleanup,
wire_area_loss_frac,42,True,all_cleaned,image_morphology,True,All cleaned metadata and image features after QC and collinearity pruning.,img_rust_blob_count,keep,retained after QC and collinearity cleanup,
