split_name,repeat_id,fold_id,split_id,membership,specimen_id,campaign_id,n_steel_mesh,series_id,split_group_treatment
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,D02,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,D03,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,D04,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,D05,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,D06,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,E01,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,E02,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,E04,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,E05,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,F01,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,F02,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,F03,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,F04,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,F06,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,G02,campaign_2,4,G,G_PAINT
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,G03,campaign_2,4,G,G_PAINT
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,G04,campaign_2,4,G,G_PAINT
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,G05,campaign_2,4,G,G_PAINT
grouped_cv,0,0,grouped_cv_repeat0_fold0,train,G06,campaign_2,4,G,G_PAINT
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,D01,campaign_2,4,D,D_NO
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E03,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,E06,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,F05,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,0,grouped_cv_repeat0_fold0,test,G01,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,D01,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,D03,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,D04,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,D05,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,E01,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,E02,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,E03,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,E05,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,E06,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,F01,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,F03,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,F04,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,F05,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,F06,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,G01,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,G02,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,G03,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,G05,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,train,G06,campaign_2,4,G,G_PAINT
grouped_cv,0,1,grouped_cv_repeat0_fold1,test,D02,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,test,D06,campaign_2,4,D,D_NO
grouped_cv,0,1,grouped_cv_repeat0_fold1,test,E04,campaign_2,4,E,E_SA_SPRAY
grouped_cv,0,1,grouped_cv_repeat0_fold1,test,F02,campaign_2,4,F,F_SA_BRUSH
grouped_cv,0,1,grouped_cv_repeat0_fold1,test,G04,campaign_2,4,G,G_PAINT
grouped_cv,0,2,grouped_cv_repeat0_fold2,train,D01,campaign_2,4,D,D_NO
grouped_cv,0,2,grouped_cv_repeat0_fold2,train,D02,campaign_2,4,D,D_NO
grouped_cv,0,2,grouped_cv_repeat0_fold2,train,D06,campaign_2,4,D,D_NO
grouped_cv,0,2,grouped_cv_repeat0_fold2,train,E01,campaign_2,4,E,E_SA_SPRAY
